id,funding_round_id,startup_id,funding_id,created_at,updated_at,startup_name,funding_first_name,funding_last_name,parent_id,category_code,status,country_code,state_code,city,region,funding_total_usd
68289,1644,c:1001,p:2716,2/26/08 5:05,8/10/09 19:46,FriendFeed,Sanjeev,Singh,1001,web,acquired,USA,CA,Mountain View,SF Bay,5000000
68288,1644,c:1001,p:640,2/26/08 5:05,8/10/09 19:46,FriendFeed,Paul,Buchheit,1001,web,acquired,USA,CA,Mountain View,SF Bay,5000000
73014,25185,c:100189,p:23613,9/7/11 2:27,9/24/11 13:13,Locatrix Communications,Mark,White,100189,mobile,operating,AUS,0,Brisbane,SF Bay,250000
67898,743,c:1007,p:113,10/2/07 12:20,6/15/11 4:51,Rupture,Joi,Ito,1007,games_video,acquired,USA,CA,San Francisco,SF Bay,3000000
67899,743,c:1007,p:125,10/2/07 12:20,6/15/11 4:51,Rupture,Ron,Conway,1007,games_video,acquired,USA,CA,San Francisco,SF Bay,3000000
67901,743,c:1007,p:3963,10/2/07 12:20,6/15/11 4:51,Rupture,Michael,Parekh,1007,games_video,acquired,USA,CA,San Francisco,SF Bay,3000000
67900,743,c:1007,p:570,10/2/07 12:20,6/15/11 4:51,Rupture,Reid,Hoffman,1007,games_video,acquired,USA,CA,San Francisco,SF Bay,3000000
68776,3260,c:10076,p:17005,8/25/08 19:41,2/12/10 18:50,Popego,Esteban,Sosnik,10076,advertising,operating,USA,CA,San Francisco,SF Bay,0
68777,3260,c:10076,p:17006,8/25/08 19:41,2/12/10 18:50,Popego,Wenceslao,Casares,10076,advertising,operating,USA,CA,San Francisco,SF Bay,0
74296,28467,c:10082,p:10318,2/29/12 9:55,7/9/13 19:44,iCharts,Saeed,Amidi,10082,analytics,operating,USA,CA,Sunnyvale,SF Bay,3100000
74297,28467,c:10082,p:127379,2/29/12 9:55,7/9/13 19:44,iCharts,Lorenz,Graef,10082,analytics,operating,USA,CA,Sunnyvale,SF Bay,3100000
68907,3834,c:1010,p:20863,11/10/08 5:24,11/10/08 5:24,Gazelle,Austin,Ligon,1010,ecommerce,operating,USA,MA,Boston,Boston,46400000
69042,4421,c:1010,p:20863,1/5/09 15:48,9/9/09 11:14,Gazelle,Austin,Ligon,1010,ecommerce,operating,USA,MA,Boston,Boston,46400000
69043,4421,c:1010,p:26051,1/5/09 15:48,9/9/09 11:14,Gazelle,Ashton,Peery,1010,ecommerce,operating,USA,MA,Boston,Boston,46400000
68908,3834,c:1010,p:3186,11/10/08 5:24,11/10/08 5:24,Gazelle,Henry,Vogel,1010,ecommerce,operating,USA,MA,Boston,Boston,46400000
73027,25208,c:101052,p:108649,9/7/11 18:03,10/2/11 2:02,Icount.com,Rod,Watson,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
73028,25208,c:101052,p:108650,9/7/11 18:03,10/2/11 2:02,Icount.com,Warren,Osborn,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
73029,25208,c:101052,p:108651,9/7/11 18:03,10/2/11 2:02,Icount.com,Ralph,Yarro,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
73030,25208,c:101052,p:108652,9/7/11 18:03,10/2/11 2:02,Icount.com,Martin,Frey,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
73025,25208,c:101052,p:17081,9/7/11 18:03,10/2/11 2:02,Icount.com,Josh,James,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
73026,25208,c:101052,p:42861,9/7/11 18:03,10/2/11 2:02,Icount.com,John,Pestana,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
73024,25208,c:101052,p:67206,9/7/11 18:03,10/2/11 2:02,Icount.com,John,Richards,101052,government,operating,USA,UT,Orem,Salt Lake City,182500
67902,745,c:1012,p:2262,2/5/08 22:44,2/25/08 0:24,#N/A,Martin,Varsavsky,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
73031,25212,c:101312,p:92005,9/8/11 0:02,4/3/13 11:31,SideTour,Matt,Turck,101312,web,acquired,USA,NY,New York,New York,4000000
77185,36155,c:101317,p:1235,3/12/13 20:24,11/19/13 3:33,ChatID,David,Cohen,101317,mobile,operating,USA,NY,New York,New York,3268000
77180,36155,c:101317,p:145752,3/12/13 20:24,11/19/13 3:33,ChatID,Rob,Wiesenthal,101317,mobile,operating,USA,NY,New York,New York,3268000
77182,36155,c:101317,p:177800,3/12/13 20:24,11/19/13 3:33,ChatID,Akshay,Navle,101317,mobile,operating,USA,NY,New York,New York,3268000
77187,36155,c:101317,p:2602,3/12/13 20:24,11/19/13 3:33,ChatID,Michael,Lazerow,101317,mobile,operating,USA,NY,New York,New York,3268000
77183,36155,c:101317,p:32176,3/12/13 20:24,11/19/13 3:33,ChatID,David,Liu,101317,mobile,operating,USA,NY,New York,New York,3268000
77177,36155,c:101317,p:35971,3/12/13 20:24,11/19/13 3:33,ChatID,Patrick,Keane,101317,mobile,operating,USA,NY,New York,New York,3268000
77176,36155,c:101317,p:64875,3/12/13 20:24,11/19/13 3:33,ChatID,David,Tisch,101317,mobile,operating,USA,NY,New York,New York,3268000
77178,36155,c:101317,p:70365,3/12/13 20:24,11/19/13 3:33,ChatID,Kal,Vepuri,101317,mobile,operating,USA,NY,New York,New York,3268000
77184,36155,c:101317,p:7595,3/12/13 20:24,11/19/13 3:33,ChatID,Nat,Turner,101317,mobile,operating,USA,NY,New York,New York,3268000
77179,36155,c:101317,p:78156,3/12/13 20:24,11/19/13 3:33,ChatID,Ralph,Mack,101317,mobile,operating,USA,NY,New York,New York,3268000
77181,36155,c:101317,p:87926,3/12/13 20:24,11/19/13 3:33,ChatID,Joey,Levin,101317,mobile,operating,USA,NY,New York,New York,3268000
77186,36155,c:101317,p:98359,3/12/13 20:24,11/19/13 3:33,ChatID,Zach,Weinberg,101317,mobile,operating,USA,NY,New York,New York,3268000
68781,3273,c:10137,p:100628,8/26/08 15:39,5/8/13 20:18,Producteev,Oleg,Tscheltzoff,10137,software,acquired,USA,NY,New York,New York,1310000
69490,8327,c:10137,p:100628,9/2/09 2:10,5/8/13 20:18,Producteev,Oleg,Tscheltzoff,10137,software,acquired,USA,NY,New York,New York,1310000
68782,3273,c:10137,p:17076,8/26/08 15:39,5/8/13 20:18,Producteev,Jean,Guetta,10137,software,acquired,USA,NY,New York,New York,1310000
68787,3273,c:10137,p:2208,8/26/08 15:39,5/8/13 20:18,Producteev,Arthur,Madrid,10137,software,acquired,USA,NY,New York,New York,1310000
68785,3273,c:10137,p:2243,8/26/08 15:39,5/8/13 20:18,Producteev,Oliver,Jung,10137,software,acquired,USA,NY,New York,New York,1310000
69489,8327,c:10137,p:2243,9/2/09 2:10,5/8/13 20:18,Producteev,Oliver,Jung,10137,software,acquired,USA,NY,New York,New York,1310000
68786,3273,c:10137,p:23251,8/26/08 15:39,5/8/13 20:18,Producteev,Eric,Bennephati,10137,software,acquired,USA,NY,New York,New York,1310000
68784,3273,c:10137,p:333,8/26/08 15:39,5/8/13 20:18,Producteev,Jeremie,Berrebi,10137,software,acquired,USA,NY,New York,New York,1310000
69492,8327,c:10137,p:58024,9/2/09 2:10,5/8/13 20:18,Producteev,Michael,Sauer,10137,software,acquired,USA,NY,New York,New York,1310000
70515,15946,c:10137,p:60215,6/2/10 14:35,5/8/13 20:18,Producteev,Marc-Henri,Magdelenat,10137,software,acquired,USA,NY,New York,New York,1310000
69488,8327,c:10137,p:638,9/2/09 2:10,5/8/13 20:18,Producteev,Aydin,Senkut,10137,software,acquired,USA,NY,New York,New York,1310000
68780,3273,c:10137,p:7039,8/26/08 15:39,5/8/13 20:18,Producteev,Fabrice,Grinda,10137,software,acquired,USA,NY,New York,New York,1310000
68783,3273,c:10137,p:7248,8/26/08 15:39,5/8/13 20:18,Producteev,Florian,Seroussi,10137,software,acquired,USA,NY,New York,New York,1310000
69491,8327,c:10137,p:7248,9/2/09 2:10,5/8/13 20:18,Producteev,Florian,Seroussi,10137,software,acquired,USA,NY,New York,New York,1310000
